




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
inositol phosphate dephosphorylation (GO:0046855)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component organization (GO:0051128)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate biosynthetic process (GO:0009133)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process (GO:0051484)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terpenoid biosynthetic process, mevalonate-independent (GO:0051483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to chemical stimulus (GO:0070887)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular amide metabolic process (GO:0034250)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine phosphorylation (GO:0018106)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide salvage (GO:0106380)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidoglycan-protein cross-linking (GO:0018104)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell communication (GO:0010646)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate biosynthetic process (GO:0009127)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular amide metabolic process (GO:0034249)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate catabolic process (GO:0009125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amide metabolic process (GO:0034248)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate biosynthetic process (GO:0009124)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
glucosylglycerol biosynthetic process (GO:0051473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosylglycerol metabolic process (GO:0051472)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium ion import across plasma membrane (GO:1990573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA processing (GO:0008033)	41	0	.34	-	 < 0.01	1.00E00	1.00E00
arginine deiminase pathway (GO:0019546)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
propionate catabolic process (GO:0019543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process (GO:0019541)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphorylated carbohydrate dephosphorylation (GO:0046838)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycolipid transport (GO:0046836)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphorylation (GO:0046835)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside metabolic process (GO:0009119)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
peroxisomal transport (GO:0043574)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside metabolic process (GO:0009116)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
protein-phycocyanobilin linkage (GO:0017009)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
maintenance of CRISPR repeat elements (GO:0043571)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA ligation involved in DNA repair (GO:0051103)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase biosynthetic process (GO:0009113)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-bilin linkage (GO:0017007)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA repeat elements (GO:0043570)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase metabolic process (GO:0009112)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protein-tetrapyrrole linkage (GO:0017006)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA (GO:0071951)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrate assimilation (GO:0042128)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vitamin catabolic process (GO:0009111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin biosynthetic process (GO:0009110)	59	0	.50	-	 < 0.01	1.00E00	1.00E00
cytochrome complex assembly (GO:0017004)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
nitrate metabolic process (GO:0042126)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome segregation (GO:0098813)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-heme linkage (GO:0017003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antibiotic catabolic process (GO:0017001)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
antibiotic biosynthetic process (GO:0017000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N7)-methylation (GO:0106004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene expression (GO:0010629)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of gene expression (GO:0010628)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to external biotic stimulus (GO:0043207)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
oligopeptide transmembrane transport (GO:0035672)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoate biosynthetic process (GO:0009107)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoate metabolic process (GO:0009106)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA thio-modification (GO:0034227)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide biosynthetic process (GO:0009103)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
biotin biosynthetic process (GO:0009102)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nitrogen cycle metabolic process (GO:0071941)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular pH (GO:0051453)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycoprotein biosynthetic process (GO:0009101)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glycoprotein metabolic process (GO:0009100)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process via UDP-galactose (GO:0033499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-gluconate metabolic process (GO:0019521)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldonic acid metabolic process (GO:0019520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
selenocysteine biosynthetic process (GO:0016260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein secretion by the type V secretion system (GO:0046819)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide catabolic process (GO:0006195)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
quinolinate catabolic process (GO:0034213)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA modification (GO:0009451)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid catabolic process (GO:0009450)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
selenocysteine metabolic process (GO:0016259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via aminoadipic acid (GO:0019878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diaminopimelate biosynthetic process (GO:0019877)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell size (GO:0008361)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell shape (GO:0008360)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
posttranscriptional regulation of gene expression (GO:0010608)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of kinase activity (GO:0043549)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of phosphate transport (GO:0010966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor metabolic process (GO:0043545)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid metabolic process (GO:0009448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA geometric change (GO:0032392)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
'de novo' IMP biosynthetic process (GO:0006189)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
IMP biosynthetic process (GO:0006188)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process (GO:0009446)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
putrescine metabolic process (GO:0009445)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of signaling (GO:0023051)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
GTP biosynthetic process (GO:0006183)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside biosynthetic process (GO:0042455)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
ribonucleoside catabolic process (GO:0042454)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organelle disassembly (GO:1903008)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage from methylthioadenosine (GO:0019509)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside biosynthetic process (GO:0042451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
arginine biosynthetic process via ornithine (GO:0042450)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
uracil metabolic process (GO:0019860)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyanate metabolic process (GO:0009439)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylglyoxal metabolic process (GO:0009438)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
C-terminal protein amino acid modification (GO:0018410)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP biosynthetic process (GO:0006177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD biosynthetic process (GO:0009435)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell division (GO:0051782)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP biosynthetic process (GO:0006171)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pigment metabolic process (GO:0042440)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
cytosine metabolic process (GO:0019858)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase biosynthetic process (GO:0019856)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate interconversion (GO:0035999)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenine salvage (GO:0006168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AMP biosynthetic process (GO:0006167)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside salvage (GO:0006166)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribosome biogenesis (GO:0090071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chorismate biosynthetic process (GO:0009423)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
blue light signaling pathway (GO:0009785)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	50	0	.42	-	 < 0.01	1.00E00	1.00E00
indole-containing compound catabolic process (GO:0042436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
indole-containing compound biosynthetic process (GO:0042435)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
hydrogen sulfide biosynthetic process (GO:0070814)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrogen sulfide metabolic process (GO:0070813)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
indole-containing compound metabolic process (GO:0042430)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster assembly (GO:0016226)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of ribosome biogenesis (GO:0090069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular lipid transport (GO:0032365)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of anatomical structure size (GO:0090066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to light stimulus (GO:0009416)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
photosynthetic electron transport in photosystem I (GO:0009773)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside catabolic process (GO:0006152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosynthetic electron transport in photosystem II (GO:0009772)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-end processing (GO:0042780)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytolysis (GO:0019835)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
osmosensory signaling via phosphorelay pathway (GO:0007234)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbamoyl phosphate catabolic process (GO:0035975)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
osmosensory signaling pathway (GO:0007231)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to heat (GO:0009408)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine dephosphorylation (GO:0035970)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosynthetic electron transport chain (GO:0009767)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
photosynthesis, light harvesting (GO:0009765)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase metabolic process (GO:0006144)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage (GO:0042779)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA methylthiolation (GO:0035600)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein lipidation (GO:0006497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hormone-mediated signaling pathway (GO:0009755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein phosphorylation (GO:0001932)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein O-linked glycosylation (GO:0006493)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine catabolic process (GO:0042402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine biosynthetic process (GO:0042401)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid catabolic process (GO:0042760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteoglycan biosynthetic process (GO:0030166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoprenoid catabolic process (GO:0008300)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA modification (GO:0016556)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein catabolic process (GO:0030163)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
base conversion or substitution editing (GO:0016553)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrocarbon catabolic process (GO:0120253)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrocarbon metabolic process (GO:0120252)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrocarbon biosynthetic process (GO:0120251)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein N-linked glycosylation (GO:0006487)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	134	0	1.13	-	 < 0.01	6.27E-01	1.00E00
protein glycosylation (GO:0006486)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of circadian rhythm (GO:0042752)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound salvage (GO:0008655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid biosynthetic process (GO:0008654)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide metabolic process (GO:0008653)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
quinolinate biosynthetic process (GO:0019805)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amino acid biosynthetic process (GO:0008652)	90	0	.76	-	 < 0.01	1.00E00	1.00E00
cell differentiation (GO:0030154)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein autoprocessing (GO:0016540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alanine transport (GO:0032328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor biosynthetic process (GO:0032324)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation (GO:0006119)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
heme O biosynthetic process (GO:0048034)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heme O metabolic process (GO:0048033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein methylation (GO:0006479)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle (GO:0051726)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cytokinin-activated signaling pathway (GO:0009736)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein de-ADP-ribosylation (GO:0051725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to cytokinin (GO:0009735)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
energy reserve metabolic process (GO:0006112)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
protein dephosphorylation (GO:0006470)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide catabolic process (GO:0042744)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide metabolic process (GO:0042743)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid catabolic process (GO:0030149)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to bacterium (GO:0042742)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intein-mediated protein splicing (GO:0016539)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid biosynthetic process (GO:0030148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate transport (GO:0008643)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
dimethylallyl diphosphate metabolic process (GO:0050993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of bacterial-type flagellum-dependent cell motility (GO:1902201)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
malate metabolic process (GO:0006108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxaloacetate metabolic process (GO:0006107)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fumarate metabolic process (GO:0006106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein phosphorylation (GO:0006468)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
response to hormone (GO:0009725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA metabolic process (GO:0006104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-substrate adhesion (GO:0031589)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
signal peptide processing (GO:0006465)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sister chromatid segregation (GO:0000819)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-xylose metabolic process (GO:0042732)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation (GO:0030497)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
bacteriochlorophyll biosynthetic process (GO:0030494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bacteriochlorophyll metabolic process (GO:0030493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA (GO:0030490)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to endogenous stimulus (GO:0009719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to other organism (GO:0051707)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
'de novo' protein folding (GO:0006458)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein folding (GO:0006457)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
biological process involved in intraspecies interaction between organisms (GO:0051703)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound biosynthetic process (GO:0042727)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound metabolic process (GO:0042726)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of translational fidelity (GO:0006450)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound biosynthetic process (GO:0042724)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound metabolic process (GO:0042723)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA methylation (GO:0030488)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of secondary metabolite biosynthetic process (GO:1900376)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of translational termination (GO:0006449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational elongation (GO:0006448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation (GO:0006446)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription antitermination (GO:0031564)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
queuosine biosynthetic process (GO:0008616)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA wobble guanine modification (GO:0002099)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridoxine biosynthetic process (GO:0008615)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA wobble uridine modification (GO:0002098)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
pyridoxine metabolic process (GO:0008614)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
biofilm formation (GO:0042710)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA wobble base modification (GO:0002097)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
lipid biosynthetic process (GO:0008610)	71	0	.60	-	 < 0.01	1.00E00	1.00E00
aldehyde catabolic process (GO:0046185)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aldehyde biosynthetic process (GO:0046184)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular signal transduction (GO:1902531)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
polysaccharide transport (GO:0015774)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
valyl-tRNA aminoacylation (GO:0006438)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-glycero-D-manno-heptose 7-phosphate biosynthetic process (GO:2001061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosyl-tRNA aminoacylation (GO:0006437)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-glycero-D-manno-heptose 7-phosphate metabolic process (GO:2001060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophanyl-tRNA aminoacylation (GO:0006436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
threonyl-tRNA aminoacylation (GO:0006435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
seryl-tRNA aminoacylation (GO:0006434)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prolyl-tRNA aminoacylation (GO:0006433)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA aminoacylation (GO:0006431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription, termination (GO:0031554)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lysyl-tRNA aminoacylation (GO:0006430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(hydroxyalkanoate) biosynthetic process (GO:1901441)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
flavin adenine dinucleotide biosynthetic process (GO:0072388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur compound metabolic process (GO:0006790)	67	0	.56	-	 < 0.01	1.00E00	1.00E00
poly(hydroxyalkanoate) metabolic process (GO:1901440)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
flavin adenine dinucleotide metabolic process (GO:0072387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
water homeostasis (GO:0030104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-gluconate catabolic process (GO:0046177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
